24-01-2013 17:30:01,658 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.MessageSchema.messageField: select messagefie0_.WshtMessageSchema_id as WshtMess1_2_1_, messagefie0_.messageField_id as messageF2_1_, messagefie1_.id as id2_0_, messagefie1_.name as name25_0_, messagefie1_.type as type25_0_ from WshtMessageSchema_WshtMessageField messagefie0_ inner join WshtMessageField messagefie1_ on messagefie0_.messageField_id=messagefie1_.id where messagefie0_.WshtMessageSchema_id=?
24-01-2013 17:30:01,659 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.TaskInfo.potentialOwners: select potentialo0_.taskinfo_id as taskinfo2_47_1_, potentialo0_.user_id as user1_1_, userentity1_.id as id75_0_, userentity1_.active as active75_0_, userentity1_.clientSide as clientSide75_0_, userentity1_.email as email75_0_, userentity1_.name as name75_0_, userentity1_.parentSide as parentSide75_0_, userentity1_.password as password75_0_, userentity1_.userName as userName75_0_ from wsht_potentialowner_taskInfos potentialo0_ inner join UserEntityInfo userentity1_ on potentialo0_.user_id=userentity1_.id where potentialo0_.taskinfo_id=?
24-01-2013 17:30:01,660 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.PeopleAssignments.genericHumanRole: select generichum0_.WshtPeopleAssignments_id as WshtPeop1_2_11_, generichum0_.genericHumanRole_id as genericH2_11_, generichum1_.id as id2_0_, generichum1_.name as name3_0_, generichum1_.from_id as from1_32_0_, generichum1_.parallel_id as parallel2_32_0_, generichum1_.sequence_id as sequence3_32_0_, generichum1_.from_id as from1_33_0_, generichum1_.clazz_ as clazz_0_, from2_.id as id0_1_, from2_.argument_id as argument3_19_1_, from2_.expressionLanguage as expressi1_19_1_, from2_.literal_id as literal4_19_1_, from2_.logicalPeopleGroup as logicalP2_19_1_, argument3_.id as id0_2_, argument3_.expressionLanguage as expressi1_66_2_, argument3_.name as name66_2_, literal4_.id as id67_3_, literal4_.organizationalEntity_id as organiza2_67_3_, organizati5_.id as id48_4_, organizati5_.created as created48_4_, parallel6_.id as id2_5_, parallel6_.completionBehavior_id as completi2_29_5_, parallel6_.type as type29_5_, completion7_.id as id2_6_, completion7_.completionAction as completi1_8_6_, completion7_.defaultCompletion_id as defaultC2_8_6_, defaultcom8_.id as id2_7_, defaultcom8_.result_id as result1_13_7_, result9_.id as id2_8_, sequence10_.id as id2_9_, sequence10_.completionBehavior_id as completi2_43_9_, sequence10_.type as type43_9_, completion11_.id as id2_10_, completion11_.completionAction as completi1_8_10_, completion11_.defaultCompletion_id as defaultC2_8_10_ from WshtPeopleAssignments_WshtGenericHumanRoleAssignmentBase generichum0_ inner join ( select id, name, from_id, parallel_id, sequence_id, 21 as clazz_ from WshtPotentialOwnerAssignment union all select id, name, from_id, null::int8 as parallel_id, null::int8 as sequence_id, 22 as clazz_ from WshtGenericHumanRoleAssignment ) generichum1_ on generichum0_.genericHumanRole_id=generichum1_.id left outer join WshtFrom from2_ on generichum1_.from_id=from2_.id left outer join WshtArgument argument3_ on from2_.argument_id=argument3_.id left outer join WshtLiteral literal4_ on from2_.literal_id=literal4_.id left outer join WshtOrganizationalEntity organizati5_ on literal4_.organizationalEntity_id=organizati5_.id left outer join WshtParallel parallel6_ on generichum1_.parallel_id=parallel6_.id left outer join WshtCompletionBehavior completion7_ on parallel6_.completionBehavior_id=completion7_.id left outer join WshtDefaultCompletion defaultcom8_ on completion7_.defaultCompletion_id=defaultcom8_.id left outer join WshtResult result9_ on defaultcom8_.result_id=result9_.id left outer join WshtSequence sequence10_ on generichum1_.sequence_id=sequence10_.id left outer join WshtCompletionBehavior completion11_ on sequence10_.completionBehavior_id=completion11_.id where generichum0_.WshtPeopleAssignments_id=?
24-01-2013 17:30:01,660 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.AttachmentInfos.info: select info0_.TaskAttachmentInfos_id as TaskAtta1_71_1_, info0_.info_id as info2_1_, attachment1_.id as id70_0_, attachment1_.accessType as accessType70_0_, attachment1_.attachedBy as attachedBy70_0_, attachment1_.attachedTime as attached4_70_0_, attachment1_.contentCategory as contentC5_70_0_, attachment1_.contentType as contentT6_70_0_, attachment1_.identifier as identifier70_0_, attachment1_.name as name70_0_ from TaskAttachmentInfos_WshtAttachmentInfo info0_ inner join WshtAttachmentInfo attachment1_ on info0_.info_id=attachment1_.id where info0_.TaskAttachmentInfos_id=?
24-01-2013 17:30:01,660 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.Renderings.rendering: select rendering0_.WshtRenderings_id as WshtRend1_2_2_, rendering0_.rendering_id as rendering2_2_, rendering1_.id as id2_0_, rendering1_.type_id as type1_40_0_, attributeb2_.id as id4_1_, attributeb2_.localPart as localPart4_1_, attributeb2_.name as name4_1_, attributeb2_.namespaceUri as namespac4_4_1_, attributeb2_.prefix as prefix4_1_, attributeb2_.value as value4_1_ from WshtRenderings_WshtRendering rendering0_ inner join WshtRendering rendering1_ on rendering0_.rendering_id=rendering1_.id inner join WshtAttribute attributeb2_ on rendering1_.type_id=attributeb2_.id where rendering0_.WshtRenderings_id=?
24-01-2013 17:30:01,660 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.HumanInteractions._import: select import0_.WshtHumanInteractions_id as WshtHuma1_2_1_, import0_._import_id as column2_1_, import1_.id as id2_0_, import1_.importType as importType55_0_, import1_.location as location55_0_, import1_.namespace as namespace55_0_ from WshtHumanInteractions_WshtImport import0_ inner join WshtImport import1_ on import0_._import_id=import1_.id where import0_.WshtHumanInteractions_id=?
24-01-2013 17:30:01,661 [qtp2143632343-21] DEBUG org.hibernate.loader.collection.BasicCollectionLoader  - Static select for collection wsht.infrastructure.domain.entity.Sequence.from: select from0_.WshtSequence_id as WshtSequ1_2_4_, from0_.from_id as from2_4_, from1_.id as id0_0_, from1_.argument_id as argument3_19_0_, from1_.expressionLanguage as expressi1_19_0_, from1_.literal_id as literal4_19_0_, from1_.logicalPeopleGroup as logicalP2_19_0_, argument2_.id as id0_1_, argument2_.expressionLanguage as expressi1_66_1_, argument2_.name as name66_1_, literal3_.id as id67_2_, literal3_.organizationalEntity_id as organiza2_67_2_, organizati4_.id as id48_3_, organizati4_.created as created48_3_ from WshtSequence_WshtFrom from0_ inner join WshtFrom from1_ on from0_.from_id=from1_.id left outer join WshtArgument argument2_ on from1_.argument_id=argument2_.id left outer join WshtLiteral literal3_ on from1_.literal_id=literal3_.id left outer join WshtOrganizationalEntity organizati4_ on literal3_.organizationalEntity_id=organizati4_.id where from0_.WshtSequence_id=?
